index,label,sentence,POS,FGPOS,w_index,split,label_bin,is_verb,target_idx,tokens,target_word,lemma,sent_len,lemma_freq_in_sample
fpb-fragment01 1198,0,"High arched walls of pale , honey-coloured stone were hung with bluish-green tapestries ; around the big stone fireplace , where logs burned in winter , stood sofas covered in the blues and greens of the tapestries ; here and there were lamps , flowers , books , and piles of parlour games .",VERB,VBN,28,train,0,True,28,"['High', 'arched', 'walls', 'of', 'pale', ',', 'honey-coloured', 'stone', 'were', 'hung', 'with', 'bluish-green', 'tapestries', ';', 'around', 'the', 'big', 'stone', 'fireplace', ',', 'where', 'logs', 'burned', 'in', 'winter', ',', 'stood', 'sofas', 'covered', 'in', 'the', 'blues', 'and', 'greens', 'of', 'the', 'tapestries', ';', 'here', 'and', 'there', 'were', 'lamps', ',', 'flowers', ',', 'books', ',', 'and', 'piles', 'of', 'parlour', 'games', '.']",covered,cover,54,16
b1g-fragment02 1381,0,There are important analytical problems to be addressed concerning the siting of such monitoring equipment and these are elaborated on later .,VERB,VBN,7,train,0,True,7,"['There', 'are', 'important', 'analytical', 'problems', 'to', 'be', 'addressed', 'concerning', 'the', 'siting', 'of', 'such', 'monitoring', 'equipment', 'and', 'these', 'are', 'elaborated', 'on', 'later', '.']",addressed,address,22,9
bpa-fragment14 2125,1,"After they 'd gone , Forster felt the silence physically settle around him .",VERB,VB,10,train,1,True,10,"['After', 'they', ""'d"", 'gone', ',', 'Forster', 'felt', 'the', 'silence', 'physically', 'settle', 'around', 'him', '.']",settle,settle,14,13
a1j-fragment33 494,1,The Labour Party Conference : Policy review throws a spanner in the Whitehall machinery,VERB,VBZ,7,test,1,True,7,"['The', 'Labour', 'Party', 'Conference', ':', 'Policy', 'review', 'throws', 'a', 'spanner', 'in', 'the', 'Whitehall', 'machinery']",throws,throw,14,15
cb5-fragment02 3401,0,"‘ Do n't leave me , ’ she begged .",VERB,VBD,8,train,0,True,8,"['‘', 'Do', ""n't"", 'leave', 'me', ',', '’', 'she', 'begged', '.']",begged,beg,10,5
ab9-fragment03 838,0,"Jamie , through a renewed queasiness , just observed that the police driver was instantly reduced to half his age by Miss Williams 's greeting .",VERB,VBN,8,train,0,True,8,"['Jamie', ',', 'through', 'a', 'renewed', 'queasiness', ',', 'just', 'observed', 'that', 'the', 'police', 'driver', 'was', 'instantly', 'reduced', 'to', 'half', 'his', 'age', 'by', 'Miss', 'Williams', ""'s"", 'greeting', '.']",observed,observe,26,12
fpb-fragment01 1318,0,"Mike , his face alert and wary , lit a cigarette .",VERB,VBN,8,train,0,True,8,"['Mike', ',', 'his', 'face', 'alert', 'and', 'wary', ',', 'lit', 'a', 'cigarette', '.']",lit,light,12,7
bmw-fragment09 2571,0,"Her dark , grey-streaked hair , which she wore in a long bob , had been cut by Vidal Sassoon and she wore a beautifully tailored black suit relieved only by a little white flounce at the neckline .",VERB,VBN,25,test,0,True,25,"['Her', 'dark', ',', 'grey-streaked', 'hair', ',', 'which', 'she', 'wore', 'in', 'a', 'long', 'bob', ',', 'had', 'been', 'cut', 'by', 'Vidal', 'Sassoon', 'and', 'she', 'wore', 'a', 'beautifully', 'tailored', 'black', 'suit', 'relieved', 'only', 'by', 'a', 'little', 'white', 'flounce', 'at', 'the', 'neckline', '.']",tailored,tailor,39,2
ccw-fragment04 2038,0,I hoped Thessy was fast asleep for he would be taking the morning watch .,VERB,VBD,1,test,0,True,1,"['I', 'hoped', 'Thessy', 'was', 'fast', 'asleep', 'for', 'he', 'would', 'be', 'taking', 'the', 'morning', 'watch', '.']",hoped,hop,15,10
fet-fragment01 213,1,"He had metaphorically shaken a large fist , impotently , at some looming energy-field , and got on with his work , his work .",VERB,VBG,12,train,1,True,12,"['He', 'had', 'metaphorically', 'shaken', 'a', 'large', 'fist', ',', 'impotently', ',', 'at', 'some', 'looming', 'energy-field', ',', 'and', 'got', 'on', 'with', 'his', 'work', ',', 'his', 'work', '.']",looming,loom,25,3
bmw-fragment09 2625,0,On her second day Madame Mattli took her to Vidal Sassoon 's salon in Grosvenor House so that her hair could be cut in an up-to-the-minute style .,VERB,VBN,22,test,0,True,22,"['On', 'her', 'second', 'day', 'Madame', 'Mattli', 'took', 'her', 'to', 'Vidal', 'Sassoon', ""'s"", 'salon', 'in', 'Grosvenor', 'House', 'so', 'that', 'her', 'hair', 'could', 'be', 'cut', 'in', 'an', 'up-to-the-minute', 'style', '.']",cut,cut,28,16
ccw-fragment04 2115,1,"‘ The rich trash pay the bills , Mr Breakspear , which lets me give my spare time away to the poor trash . ’",VERB,VBZ,12,test,1,True,12,"['‘', 'The', 'rich', 'trash', 'pay', 'the', 'bills', ',', 'Mr', 'Breakspear', ',', 'which', 'lets', 'me', 'give', 'my', 'spare', 'time', 'away', 'to', 'the', 'poor', 'trash', '.', '’']",lets,let,25,16
bmw-fragment09 2624,0,Paula was amazed by the security arrangements that were necessary to ensure that the new season 's collections remained exclusive — the windows at the rear of the premises were heavily barred and practically the first thing she had to do on commencing her employment was to sign a contract promising that she would not breathe a word about the designs she saw .,VERB,VBN,31,test,0,True,31,"['Paula', 'was', 'amazed', 'by', 'the', 'security', 'arrangements', 'that', 'were', 'necessary', 'to', 'ensure', 'that', 'the', 'new', 'season', ""'s"", 'collections', 'remained', 'exclusive', '—', 'the', 'windows', 'at', 'the', 'rear', 'of', 'the', 'premises', 'were', 'heavily', 'barred', 'and', 'practically', 'the', 'first', 'thing', 'she', 'had', 'to', 'do', 'on', 'commencing', 'her', 'employment', 'was', 'to', 'sign', 'a', 'contract', 'promising', 'that', 'she', 'would', 'not', 'breathe', 'a', 'word', 'about', 'the', 'designs', 'she', 'saw', '.']",barred,bar,64,2
cdb-fragment02 367,0,"The policeman talked , the reporter trying to jog him into revelations and failing .",VERB,VBD,2,train,0,True,2,"['The', 'policeman', 'talked', ',', 'the', 'reporter', 'trying', 'to', 'jog', 'him', 'into', 'revelations', 'and', 'failing', '.']",talked,talk,15,14
kbd-fragment21 8238,0,"I mean , the only way you could do that would be if you had a till at one end and people bought whatever they wanted and were given a voucher and you walked down the other end and exchanged",VERB,VBD,39,test,0,True,39,"['I', 'mean', ',', 'the', 'only', 'way', 'you', 'could', 'do', 'that', 'would', 'be', 'if', 'you', 'had', 'a', 'till', 'at', 'one', 'end', 'and', 'people', 'bought', 'whatever', 'they', 'wanted', 'and', 'were', 'given', 'a', 'voucher', 'and', 'you', 'walked', 'down', 'the', 'other', 'end', 'and', 'exchanged']",exchanged,exchange,40,2
cb5-fragment02 3298,0,"Ruth fetched and carried and stirred and whipped , praying every moment that Joss Barnet would return before they left Millfield next day .",VERB,VBN,1,train,0,True,1,"['Ruth', 'fetched', 'and', 'carried', 'and', 'stirred', 'and', 'whipped', ',', 'praying', 'every', 'moment', 'that', 'Joss', 'Barnet', 'would', 'return', 'before', 'they', 'left', 'Millfield', 'next', 'day', '.']",fetched,fetch,24,3
a1g-fragment26 390,0,"Many of the new arrivals , who waited in the street outside the embassy , said they were convinced there would be another train for them .",VERB,VBD,7,train,0,True,7,"['Many', 'of', 'the', 'new', 'arrivals', ',', 'who', 'waited', 'in', 'the', 'street', 'outside', 'the', 'embassy', ',', 'said', 'they', 'were', 'convinced', 'there', 'would', 'be', 'another', 'train', 'for', 'them', '.']",waited,wait,27,14
cdb-fragment04 888,1,When Lewis said to come back with him and eat there Adam had got a kick on the ankle from Anne and another kick when he had n't replied .,VERB,VBD,13,train,1,True,13,"['When', 'Lewis', 'said', 'to', 'come', 'back', 'with', 'him', 'and', 'eat', 'there', 'Adam', 'had', 'got', 'a', 'kick', 'on', 'the', 'ankle', 'from', 'Anne', 'and', 'another', 'kick', 'when', 'he', 'had', ""n't"", 'replied', '.']",got,get,30,16
